id,family,template,symbol,period,tag,priority,lot,note
N250,Carry_ヒステリシス変種,Carry,AUDUSD,D1,hyst15,B,0.01,Hyst_ATR_Mult=1.5（帯を広げた変種）
N251,Carry_ヒステリシス変種,Carry,AUDNZD,D1,hyst15,B,0.01,Hyst_ATR_Mult=1.5（帯を広げた変種）
N252,Carry_ヒステリシス変種,Carry,GBPAUD,D1,hyst15,B,0.01,Hyst_ATR_Mult=1.5（帯を広げた変種）
N253,SCA_Boost無し,SCA_EA,EURJPY,M15,noboost,B,0.01,リバーサルBoostを外した純ブレイク版
N254,SCA_Boost無し,SCA_EA,AUDJPY,M15,noboost,B,0.01,リバーサルBoostを外した純ブレイク版
N255,SCA_Boost無し,SCA_EA,NZDJPY,M15,noboost,B,0.01,リバーサルBoostを外した純ブレイク版
N256,SCA_Boost無し,SCA_EA,CHFJPY,M15,noboost,B,0.01,リバーサルBoostを外した純ブレイク版
N257,SCA_Boost無し,SCA_EA,CADJPY,M15,noboost,B,0.01,リバーサルBoostを外した純ブレイク版
N258,SCA_Boost無し,SCA_EA,EURUSD,M15,noboost,B,0.01,リバーサルBoostを外した純ブレイク版
N259,SCA_Boost無し,SCA_EA,GBPUSD,M15,noboost,B,0.01,リバーサルBoostを外した純ブレイク版
N260,SCA_Boost無し,SCA_EA,AUDUSD,M15,noboost,B,0.01,リバーサルBoostを外した純ブレイク版
N261,SCA_Boost無し,SCA_EA,NZDUSD,M15,noboost,B,0.01,リバーサルBoostを外した純ブレイク版
N262,SCA_Boost無し,SCA_EA,USDCAD,M15,noboost,B,0.01,リバーサルBoostを外した純ブレイク版
N263,SCA_Boost無し,SCA_EA,USDCHF,M15,noboost,B,0.01,リバーサルBoostを外した純ブレイク版
N264,SCA_Boost無し,SCA_EA,AUDCAD,M15,noboost,B,0.01,リバーサルBoostを外した純ブレイク版
N265,SCA_Boost無し,SCA_EA,AUDCHF,M15,noboost,B,0.01,リバーサルBoostを外した純ブレイク版
N266,SCA_Boost無し,SCA_EA,AUDNZD,M15,noboost,B,0.01,リバーサルBoostを外した純ブレイク版
N267,SCA_Boost無し,SCA_EA,NZDCAD,M15,noboost,B,0.01,リバーサルBoostを外した純ブレイク版
N268,SCA_Boost無し,SCA_EA,NZDCHF,M15,noboost,B,0.01,リバーサルBoostを外した純ブレイク版
N269,SCA_Boost無し,SCA_EA,CADCHF,M15,noboost,B,0.01,リバーサルBoostを外した純ブレイク版
N270,SCA_Boost無し,SCA_EA,EURCAD,M15,noboost,B,0.01,リバーサルBoostを外した純ブレイク版
N271,SCA_Boost無し,SCA_EA,EURCHF,M15,noboost,B,0.01,リバーサルBoostを外した純ブレイク版
N272,SCA_Boost無し,SCA_EA,EURNZD,M15,noboost,B,0.01,リバーサルBoostを外した純ブレイク版
N273,SCA_Boost無し,SCA_EA,EURAUD,M15,noboost,B,0.01,リバーサルBoostを外した純ブレイク版
N274,SCA_Boost無し,SCA_EA,GBPAUD,M15,noboost,B,0.01,リバーサルBoostを外した純ブレイク版
N275,SCA_Boost無し,SCA_EA,GBPCAD,M15,noboost,B,0.01,リバーサルBoostを外した純ブレイク版
N276,SCA_Boost無し,SCA_EA,GBPCHF,M15,noboost,B,0.01,リバーサルBoostを外した純ブレイク版
N277,SCA_Boost無し,SCA_EA,GBPNZD,M15,noboost,B,0.01,リバーサルBoostを外した純ブレイク版
N278,SCA_Boost無し,SCA_EA,USDMXN,M15,noboost,B,0.01,リバーサルBoostを外した純ブレイク版
N279,SCA_Boost無し,SCA_EA,USDZAR,M15,noboost,B,0.01,リバーサルBoostを外した純ブレイク版
N280,SCA_Boost無し,SCA_EA,USDTRY,M15,noboost,B,0.01,リバーサルBoostを外した純ブレイク版
N281,SCA_Boost無し,SCA_EA,EURTRY,M15,noboost,B,0.01,リバーサルBoostを外した純ブレイク版
N282,SCA_Boost無し,SCA_EA,EURZAR,M15,noboost,B,0.01,リバーサルBoostを外した純ブレイク版
N283,PB_RR2.5,PullbackTrend,EURJPY,H4,rr25,C,0.01,RR_Ratio=2.5（利大きめ）
N284,PB_RR2.5,PullbackTrend,CHFJPY,H4,rr25,C,0.01,RR_Ratio=2.5（利大きめ）
N285,PB_RR2.5,PullbackTrend,CADJPY,H4,rr25,C,0.01,RR_Ratio=2.5（利大きめ）
N286,PB_RR2.5,PullbackTrend,NZDJPY,H4,rr25,C,0.01,RR_Ratio=2.5（利大きめ）
N287,PB_RR2.5,PullbackTrend,AUDCAD,H4,rr25,C,0.01,RR_Ratio=2.5（利大きめ）
N288,PB_RR2.5,PullbackTrend,AUDCHF,H4,rr25,C,0.01,RR_Ratio=2.5（利大きめ）
N289,PB_RR2.5,PullbackTrend,AUDNZD,H4,rr25,C,0.01,RR_Ratio=2.5（利大きめ）
N290,PB_RR2.5,PullbackTrend,NZDCAD,H4,rr25,C,0.01,RR_Ratio=2.5（利大きめ）
N291,PB_RR2.5,PullbackTrend,NZDCHF,H4,rr25,C,0.01,RR_Ratio=2.5（利大きめ）
N292,PB_RR2.5,PullbackTrend,CADCHF,H4,rr25,C,0.01,RR_Ratio=2.5（利大きめ）
N293,PB_RR2.5,PullbackTrend,EURCAD,H4,rr25,C,0.01,RR_Ratio=2.5（利大きめ）
N294,PB_RR2.5,PullbackTrend,EURCHF,H4,rr25,C,0.01,RR_Ratio=2.5（利大きめ）
N295,PB_RR2.5,PullbackTrend,EURNZD,H4,rr25,C,0.01,RR_Ratio=2.5（利大きめ）
N296,PB_RR2.5,PullbackTrend,EURAUD,H4,rr25,C,0.01,RR_Ratio=2.5（利大きめ）
N297,PB_RR2.5,PullbackTrend,GBPAUD,H4,rr25,C,0.01,RR_Ratio=2.5（利大きめ）
N298,PB_RR2.5,PullbackTrend,GBPCAD,H4,rr25,C,0.01,RR_Ratio=2.5（利大きめ）
N299,PB_RR2.5,PullbackTrend,GBPCHF,H4,rr25,C,0.01,RR_Ratio=2.5（利大きめ）
N300,PB_RR2.5,PullbackTrend,GBPNZD,H4,rr25,C,0.01,RR_Ratio=2.5（利大きめ）
N301,VBO_チャネル短縮,VolBreakout,EURJPY,H4,ch10,C,0.01,Channel_Period=10（短期ブレイク）
N302,VBO_チャネル短縮,VolBreakout,CHFJPY,H4,ch10,C,0.01,Channel_Period=10（短期ブレイク）
N303,VBO_チャネル短縮,VolBreakout,CADJPY,H4,ch10,C,0.01,Channel_Period=10（短期ブレイク）
N304,VBO_チャネル短縮,VolBreakout,NZDJPY,H4,ch10,C,0.01,Channel_Period=10（短期ブレイク）
N305,VBO_チャネル短縮,VolBreakout,AUDCAD,H4,ch10,C,0.01,Channel_Period=10（短期ブレイク）
N306,VBO_チャネル短縮,VolBreakout,AUDCHF,H4,ch10,C,0.01,Channel_Period=10（短期ブレイク）
N307,VBO_チャネル短縮,VolBreakout,AUDNZD,H4,ch10,C,0.01,Channel_Period=10（短期ブレイク）
N308,VBO_チャネル短縮,VolBreakout,NZDCAD,H4,ch10,C,0.01,Channel_Period=10（短期ブレイク）
N309,VBO_チャネル短縮,VolBreakout,NZDCHF,H4,ch10,C,0.01,Channel_Period=10（短期ブレイク）
N310,VBO_チャネル短縮,VolBreakout,CADCHF,H4,ch10,C,0.01,Channel_Period=10（短期ブレイク）
N311,VBO_チャネル短縮,VolBreakout,EURCAD,H4,ch10,C,0.01,Channel_Period=10（短期ブレイク）
N312,VBO_チャネル短縮,VolBreakout,EURCHF,H4,ch10,C,0.01,Channel_Period=10（短期ブレイク）
N313,VBO_チャネル短縮,VolBreakout,EURNZD,H4,ch10,C,0.01,Channel_Period=10（短期ブレイク）
N314,VBO_チャネル短縮,VolBreakout,EURAUD,H4,ch10,C,0.01,Channel_Period=10（短期ブレイク）
N315,VBO_チャネル短縮,VolBreakout,GBPAUD,H4,ch10,C,0.01,Channel_Period=10（短期ブレイク）
N316,VBO_チャネル短縮,VolBreakout,GBPCAD,H4,ch10,C,0.01,Channel_Period=10（短期ブレイク）
N317,VBO_チャネル短縮,VolBreakout,GBPCHF,H4,ch10,C,0.01,Channel_Period=10（短期ブレイク）
N318,VBO_チャネル短縮,VolBreakout,GBPNZD,H4,ch10,C,0.01,Channel_Period=10（短期ブレイク）
N319,RSI_D1拡張,RSI_Reversal,EURJPY,D1,std,C,0.01,D1版の追加銘柄
N320,RSI_D1拡張,RSI_Reversal,CHFJPY,D1,std,C,0.01,D1版の追加銘柄
N321,RSI_D1拡張,RSI_Reversal,CADJPY,D1,std,C,0.01,D1版の追加銘柄
N322,RSI_D1拡張,RSI_Reversal,NZDJPY,D1,std,C,0.01,D1版の追加銘柄
N323,RSI_D1拡張,RSI_Reversal,USDMXN,D1,std,C,0.01,D1版の追加銘柄
N324,RSI_D1拡張,RSI_Reversal,USDZAR,D1,std,C,0.01,D1版の追加銘柄
N325,RSI_D1拡張,RSI_Reversal,USDTRY,D1,std,C,0.01,D1版の追加銘柄
N326,RSI_D1拡張,RSI_Reversal,EURTRY,D1,std,C,0.01,D1版の追加銘柄
N327,RSI_D1拡張,RSI_Reversal,EURZAR,D1,std,C,0.01,D1版の追加銘柄
N328,PB_ADX緩和,PullbackTrend,AUDCAD,H4,noadx,C,0.01,ADXフィルター無し（非円）
N329,PB_ADX緩和,PullbackTrend,AUDCHF,H4,noadx,C,0.01,ADXフィルター無し（非円）
N330,PB_ADX緩和,PullbackTrend,AUDNZD,H4,noadx,C,0.01,ADXフィルター無し（非円）
N331,PB_ADX緩和,PullbackTrend,NZDCAD,H4,noadx,C,0.01,ADXフィルター無し（非円）
N332,PB_ADX緩和,PullbackTrend,NZDCHF,H4,noadx,C,0.01,ADXフィルター無し（非円）
N333,PB_ADX緩和,PullbackTrend,CADCHF,H4,noadx,C,0.01,ADXフィルター無し（非円）
N334,PB_ADX緩和,PullbackTrend,EURCAD,H4,noadx,C,0.01,ADXフィルター無し（非円）
N335,PB_ADX緩和,PullbackTrend,EURCHF,H4,noadx,C,0.01,ADXフィルター無し（非円）
N336,PB_ADX緩和,PullbackTrend,EURNZD,H4,noadx,C,0.01,ADXフィルター無し（非円）
N337,PB_ADX緩和,PullbackTrend,EURAUD,H4,noadx,C,0.01,ADXフィルター無し（非円）
N338,PB_ADX緩和,PullbackTrend,GBPAUD,H4,noadx,C,0.01,ADXフィルター無し（非円）
N339,PB_ADX緩和,PullbackTrend,GBPCAD,H4,noadx,C,0.01,ADXフィルター無し（非円）
N340,PB_ADX緩和,PullbackTrend,GBPCHF,H4,noadx,C,0.01,ADXフィルター無し（非円）
N341,PB_ADX緩和,PullbackTrend,GBPNZD,H4,noadx,C,0.01,ADXフィルター無し（非円）
N342,RSI_BB緩和,RSI_Reversal,EURJPY,H4,bb30,C,0.01,BB_Deviation=3.0（バンド拡張）
N343,RSI_BB緩和,RSI_Reversal,CHFJPY,H4,bb30,C,0.01,BB_Deviation=3.0（バンド拡張）
N344,RSI_BB緩和,RSI_Reversal,CADJPY,H4,bb30,C,0.01,BB_Deviation=3.0（バンド拡張）
N345,RSI_BB緩和,RSI_Reversal,NZDJPY,H4,bb30,C,0.01,BB_Deviation=3.0（バンド拡張）
N346,RSI_BB緩和,RSI_Reversal,AUDJPY,H4,bb30,C,0.01,BB_Deviation=3.0（バンド拡張）
N347,RSI_BB緩和,RSI_Reversal,AUDCAD,H4,bb30,C,0.01,BB_Deviation=3.0（バンド拡張）
N348,RSI_BB緩和,RSI_Reversal,AUDCHF,H4,bb30,C,0.01,BB_Deviation=3.0（バンド拡張）
N349,RSI_BB緩和,RSI_Reversal,AUDNZD,H4,bb30,C,0.01,BB_Deviation=3.0（バンド拡張）
N350,RSI_BB緩和,RSI_Reversal,NZDCAD,H4,bb30,C,0.01,BB_Deviation=3.0（バンド拡張）
N351,RSI_BB緩和,RSI_Reversal,NZDCHF,H4,bb30,C,0.01,BB_Deviation=3.0（バンド拡張）
N352,RSI_BB緩和,RSI_Reversal,CADCHF,H4,bb30,C,0.01,BB_Deviation=3.0（バンド拡張）
N353,RSI_BB緩和,RSI_Reversal,EURCAD,H4,bb30,C,0.01,BB_Deviation=3.0（バンド拡張）
N354,RSI_BB緩和,RSI_Reversal,EURCHF,H4,bb30,C,0.01,BB_Deviation=3.0（バンド拡張）
N355,RSI_BB緩和,RSI_Reversal,EURNZD,H4,bb30,C,0.01,BB_Deviation=3.0（バンド拡張）
N356,RSI_BB緩和,RSI_Reversal,EURAUD,H4,bb30,C,0.01,BB_Deviation=3.0（バンド拡張）
N357,RSI_BB緩和,RSI_Reversal,GBPAUD,H4,bb30,C,0.01,BB_Deviation=3.0（バンド拡張）
N358,RSI_BB緩和,RSI_Reversal,GBPCAD,H4,bb30,C,0.01,BB_Deviation=3.0（バンド拡張）
N359,RSI_BB緩和,RSI_Reversal,GBPCHF,H4,bb30,C,0.01,BB_Deviation=3.0（バンド拡張）
N360,RSI_BB緩和,RSI_Reversal,GBPNZD,H4,bb30,C,0.01,BB_Deviation=3.0（バンド拡張）
N361,RSI_BB緩和,RSI_Reversal,USDMXN,H4,bb30,C,0.01,BB_Deviation=3.0（バンド拡張）
N362,RSI_BB緩和,RSI_Reversal,USDZAR,H4,bb30,C,0.01,BB_Deviation=3.0（バンド拡張）
N363,RSI_BB緩和,RSI_Reversal,USDTRY,H4,bb30,C,0.01,BB_Deviation=3.0（バンド拡張）
N364,RSI_BB緩和,RSI_Reversal,EURTRY,H4,bb30,C,0.01,BB_Deviation=3.0（バンド拡張）
N365,RSI_BB緩和,RSI_Reversal,EURZAR,H4,bb30,C,0.01,BB_Deviation=3.0（バンド拡張）
N366,PB_EM,PullbackTrend,USDMXN,H4,std,B,0.01,新興国通貨への押し目買い横展開
N367,PB_EM,PullbackTrend,USDZAR,H4,std,B,0.01,新興国通貨への押し目買い横展開
N368,PB_EM,PullbackTrend,USDTRY,H4,std,B,0.01,新興国通貨への押し目買い横展開
N369,PB_EM,PullbackTrend,EURTRY,H4,std,B,0.01,新興国通貨への押し目買い横展開
N370,PB_EM,PullbackTrend,EURZAR,H4,std,B,0.01,新興国通貨への押し目買い横展開
N371,VBO_EM,VolBreakout,USDMXN,H4,std,B,0.01,新興国通貨へのボラブレイク横展開
N372,VBO_EM,VolBreakout,USDZAR,H4,std,B,0.01,新興国通貨へのボラブレイク横展開
N373,VBO_EM,VolBreakout,USDTRY,H4,std,B,0.01,新興国通貨へのボラブレイク横展開
N374,VBO_EM,VolBreakout,EURTRY,H4,std,B,0.01,新興国通貨へのボラブレイク横展開
N375,VBO_EM,VolBreakout,EURZAR,H4,std,B,0.01,新興国通貨へのボラブレイク横展開
N376,RSI_コモディティ,RSI_Reversal,SILVER,H4,atrstop,C,1.0,コモディティのレンジ回帰
N377,RSI_コモディティ,RSI_Reversal,PLAT-OCT26,H4,atrstop,C,1.0,コモディティのレンジ回帰
N378,RSI_コモディティ,RSI_Reversal,PALL-SEP26,H4,atrstop,C,1.0,コモディティのレンジ回帰
N379,RSI_コモディティ,RSI_Reversal,HGCOP-SEP26,H4,atrstop,C,1.0,コモディティのレンジ回帰
N380,RSI_コモディティ,RSI_Reversal,COCOA-SEP26,H4,atrstop,C,1.0,コモディティのレンジ回帰
N381,RSI_コモディティ,RSI_Reversal,COFFE-SEP26,H4,atrstop,C,1.0,コモディティのレンジ回帰
N382,RSI_コモディティ,RSI_Reversal,CORN-SEP26,H4,atrstop,C,1.0,コモディティのレンジ回帰
N383,RSI_コモディティ,RSI_Reversal,COTTO-DEC26,H4,atrstop,C,1.0,コモディティのレンジ回帰
N384,RSI_コモディティ,RSI_Reversal,SUGAR-OCT26,H4,atrstop,C,1.0,コモディティのレンジ回帰
N385,RSI_コモディティ,RSI_Reversal,WHEAT-SEP26,H4,atrstop,C,1.0,コモディティのレンジ回帰
N386,RSI_コモディティ,RSI_Reversal,OILCash,H4,atrstop,C,1.0,コモディティのレンジ回帰
N387,RSI_コモディティ,RSI_Reversal,NGASCash,H4,atrstop,C,1.0,コモディティのレンジ回帰
N388,RSI_H1変種,RSI_Reversal,EURJPY,H1,std,C,0.01,H1版（RSIのネイティブ時間軸候補）
N389,RSI_H1変種,RSI_Reversal,CHFJPY,H1,std,C,0.01,H1版（RSIのネイティブ時間軸候補）
N390,RSI_H1変種,RSI_Reversal,CADJPY,H1,std,C,0.01,H1版（RSIのネイティブ時間軸候補）
N391,RSI_H1変種,RSI_Reversal,NZDJPY,H1,std,C,0.01,H1版（RSIのネイティブ時間軸候補）
N392,RSI_H1変種,RSI_Reversal,AUDJPY,H1,std,C,0.01,H1版（RSIのネイティブ時間軸候補）
N393,RSI_H1変種,RSI_Reversal,AUDCAD,H1,std,C,0.01,H1版（RSIのネイティブ時間軸候補）
N394,RSI_H1変種,RSI_Reversal,AUDCHF,H1,std,C,0.01,H1版（RSIのネイティブ時間軸候補）
N395,RSI_H1変種,RSI_Reversal,AUDNZD,H1,std,C,0.01,H1版（RSIのネイティブ時間軸候補）
N396,RSI_H1変種,RSI_Reversal,NZDCAD,H1,std,C,0.01,H1版（RSIのネイティブ時間軸候補）
N397,RSI_H1変種,RSI_Reversal,NZDCHF,H1,std,C,0.01,H1版（RSIのネイティブ時間軸候補）
N398,RSI_H1変種,RSI_Reversal,CADCHF,H1,std,C,0.01,H1版（RSIのネイティブ時間軸候補）
N399,RSI_H1変種,RSI_Reversal,EURCAD,H1,std,C,0.01,H1版（RSIのネイティブ時間軸候補）
N400,RSI_H1変種,RSI_Reversal,EURCHF,H1,std,C,0.01,H1版（RSIのネイティブ時間軸候補）
N401,RSI_H1変種,RSI_Reversal,EURNZD,H1,std,C,0.01,H1版（RSIのネイティブ時間軸候補）
N402,RSI_H1変種,RSI_Reversal,EURAUD,H1,std,C,0.01,H1版（RSIのネイティブ時間軸候補）
N403,RSI_H1変種,RSI_Reversal,GBPAUD,H1,std,C,0.01,H1版（RSIのネイティブ時間軸候補）
N404,RSI_H1変種,RSI_Reversal,GBPCAD,H1,std,C,0.01,H1版（RSIのネイティブ時間軸候補）
N405,RSI_H1変種,RSI_Reversal,GBPCHF,H1,std,C,0.01,H1版（RSIのネイティブ時間軸候補）
N406,RSI_H1変種,RSI_Reversal,GBPNZD,H1,std,C,0.01,H1版（RSIのネイティブ時間軸候補）
N407,Carry_逆スワップ,Carry,USDMXN,D1,negswap,C,0.01,スワップ条件を外した純トレンド保有版
N408,Carry_逆スワップ,Carry,USDZAR,D1,negswap,C,0.01,スワップ条件を外した純トレンド保有版
N409,Carry_逆スワップ,Carry,USDTRY,D1,negswap,C,0.01,スワップ条件を外した純トレンド保有版
N410,Carry_逆スワップ,Carry,EURTRY,D1,negswap,C,0.01,スワップ条件を外した純トレンド保有版
N411,Carry_逆スワップ,Carry,EURZAR,D1,negswap,C,0.01,スワップ条件を外した純トレンド保有版
N412,RSI_フィルター緩和,RSI_Reversal,EURJPY,H4,range035,B,0.01,レンジフィルターを緩和した変種
N413,RSI_フィルター緩和,RSI_Reversal,CHFJPY,H4,range035,B,0.01,レンジフィルターを緩和した変種
N414,RSI_フィルター緩和,RSI_Reversal,CADJPY,H4,range035,B,0.01,レンジフィルターを緩和した変種
N415,RSI_フィルター緩和,RSI_Reversal,NZDJPY,H4,range035,B,0.01,レンジフィルターを緩和した変種
N416,RSI_フィルター緩和,RSI_Reversal,AUDJPY,H4,range035,B,0.01,レンジフィルターを緩和した変種
N417,RSI_フィルター緩和,RSI_Reversal,AUDCAD,H4,range035,B,0.01,レンジフィルターを緩和した変種
N418,RSI_フィルター緩和,RSI_Reversal,AUDCHF,H4,range035,B,0.01,レンジフィルターを緩和した変種
N419,RSI_フィルター緩和,RSI_Reversal,AUDNZD,H4,range035,B,0.01,レンジフィルターを緩和した変種
N420,RSI_フィルター緩和,RSI_Reversal,NZDCAD,H4,range035,B,0.01,レンジフィルターを緩和した変種
N421,RSI_フィルター緩和,RSI_Reversal,NZDCHF,H4,range035,B,0.01,レンジフィルターを緩和した変種
N422,RSI_フィルター緩和,RSI_Reversal,CADCHF,H4,range035,B,0.01,レンジフィルターを緩和した変種
N423,RSI_フィルター緩和,RSI_Reversal,EURCAD,H4,range035,B,0.01,レンジフィルターを緩和した変種
N424,RSI_フィルター緩和,RSI_Reversal,EURCHF,H4,range035,B,0.01,レンジフィルターを緩和した変種
N425,RSI_フィルター緩和,RSI_Reversal,EURNZD,H4,range035,B,0.01,レンジフィルターを緩和した変種
N426,RSI_フィルター緩和,RSI_Reversal,EURAUD,H4,range035,B,0.01,レンジフィルターを緩和した変種
N427,RSI_フィルター緩和,RSI_Reversal,GBPAUD,H4,range035,B,0.01,レンジフィルターを緩和した変種
N428,RSI_フィルター緩和,RSI_Reversal,GBPCAD,H4,range035,B,0.01,レンジフィルターを緩和した変種
N429,RSI_フィルター緩和,RSI_Reversal,GBPCHF,H4,range035,B,0.01,レンジフィルターを緩和した変種
N430,RSI_フィルター緩和,RSI_Reversal,GBPNZD,H4,range035,B,0.01,レンジフィルターを緩和した変種
N431,RSI_フィルター緩和,RSI_Reversal,USDMXN,H4,range035,B,0.01,レンジフィルターを緩和した変種
N432,RSI_フィルター緩和,RSI_Reversal,USDZAR,H4,range035,B,0.01,レンジフィルターを緩和した変種
N433,RSI_フィルター緩和,RSI_Reversal,USDTRY,H4,range035,B,0.01,レンジフィルターを緩和した変種
N434,RSI_フィルター緩和,RSI_Reversal,EURTRY,H4,range035,B,0.01,レンジフィルターを緩和した変種
N435,RSI_フィルター緩和,RSI_Reversal,EURZAR,H4,range035,B,0.01,レンジフィルターを緩和した変種
N436,VBO_スクイーズOFF,VolBreakout,EURJPY,H4,nosqueeze,B,0.01,スクイーズ条件を外した純粋ブレイク
N437,VBO_スクイーズOFF,VolBreakout,CHFJPY,H4,nosqueeze,B,0.01,スクイーズ条件を外した純粋ブレイク
N438,VBO_スクイーズOFF,VolBreakout,CADJPY,H4,nosqueeze,B,0.01,スクイーズ条件を外した純粋ブレイク
N439,VBO_スクイーズOFF,VolBreakout,NZDJPY,H4,nosqueeze,B,0.01,スクイーズ条件を外した純粋ブレイク
N440,VBO_スクイーズOFF,VolBreakout,AUDCAD,H4,nosqueeze,B,0.01,スクイーズ条件を外した純粋ブレイク
N441,VBO_スクイーズOFF,VolBreakout,AUDCHF,H4,nosqueeze,B,0.01,スクイーズ条件を外した純粋ブレイク
N442,VBO_スクイーズOFF,VolBreakout,AUDNZD,H4,nosqueeze,B,0.01,スクイーズ条件を外した純粋ブレイク
N443,VBO_スクイーズOFF,VolBreakout,NZDCAD,H4,nosqueeze,B,0.01,スクイーズ条件を外した純粋ブレイク
N444,VBO_スクイーズOFF,VolBreakout,NZDCHF,H4,nosqueeze,B,0.01,スクイーズ条件を外した純粋ブレイク
N445,VBO_スクイーズOFF,VolBreakout,CADCHF,H4,nosqueeze,B,0.01,スクイーズ条件を外した純粋ブレイク
N446,VBO_スクイーズOFF,VolBreakout,EURCAD,H4,nosqueeze,B,0.01,スクイーズ条件を外した純粋ブレイク
N447,VBO_スクイーズOFF,VolBreakout,EURCHF,H4,nosqueeze,B,0.01,スクイーズ条件を外した純粋ブレイク
N448,VBO_スクイーズOFF,VolBreakout,EURNZD,H4,nosqueeze,B,0.01,スクイーズ条件を外した純粋ブレイク
N449,VBO_スクイーズOFF,VolBreakout,EURAUD,H4,nosqueeze,B,0.01,スクイーズ条件を外した純粋ブレイク
N450,VBO_スクイーズOFF,VolBreakout,GBPAUD,H4,nosqueeze,B,0.01,スクイーズ条件を外した純粋ブレイク
N451,VBO_スクイーズOFF,VolBreakout,GBPCAD,H4,nosqueeze,B,0.01,スクイーズ条件を外した純粋ブレイク
N452,VBO_スクイーズOFF,VolBreakout,GBPCHF,H4,nosqueeze,B,0.01,スクイーズ条件を外した純粋ブレイク
N453,VBO_スクイーズOFF,VolBreakout,GBPNZD,H4,nosqueeze,B,0.01,スクイーズ条件を外した純粋ブレイク
N454,PB_ADX緩和,PullbackTrend,EURJPY,H4,noadx,B,0.01,ADXフィルターを外した緩和版
N455,PB_ADX緩和,PullbackTrend,CHFJPY,H4,noadx,B,0.01,ADXフィルターを外した緩和版
N456,PB_ADX緩和,PullbackTrend,CADJPY,H4,noadx,B,0.01,ADXフィルターを外した緩和版
N457,PB_ADX緩和,PullbackTrend,NZDJPY,H4,noadx,B,0.01,ADXフィルターを外した緩和版
